tensor(3.8562, device='cuda:0')
tensor(3.9033, device='cuda:0')
tensor(4.1810, device='cuda:0')
tensor(4.1581, device='cuda:0')
tensor(3.9108, device='cuda:0')
tensor(4.1249, device='cuda:0')
tensor(4.0510, device='cuda:0')
tensor(4.2046, device='cuda:0')
tensor(3.9978, device='cuda:0')
tensor(3.9597, device='cuda:0')
tensor(3.9795, device='cuda:0')
tensor(4.0855, device='cuda:0')
tensor(3.9597, device='cuda:0')
tensor(4.0132, device='cuda:0')
tensor(3.8666, device='cuda:0')
tensor(3.9157, device='cuda:0')
tensor(3.9195, device='cuda:0')
tensor(3.9572, device='cuda:0')
tensor(4.0426, device='cuda:0')
tensor(3.7707, device='cuda:0')
tensor(3.6660, device='cuda:0')
tensor(3.9655, device='cuda:0')
tensor(4.2407, device='cuda:0')
tensor(4.2183, device='cuda:0')
tensor(4.0548, device='cuda:0')
tensor(3.9826, device='cuda:0')
tensor(3.7026, device='cuda:0')
tensor(3.9489, device='cuda:0')
tensor(4.0374, device='cuda:0')
tensor(4.0318, device='cuda:0')
tensor(4.0477, device='cuda:0')
tensor(3.9333, device='cuda:0')
tensor(3.9850, device='cuda:0')
tensor(3.9663, device='cuda:0')
tensor(4.0164, device='cuda:0')
tensor(3.7821, device='cuda:0')
tensor(4.0387, device='cuda:0')
tensor(4.1133, device='cuda:0')
tensor(3.9868, device='cuda:0')
tensor(3.7827, device='cuda:0')
tensor(3.7661, device='cuda:0')
tensor(3.8983, device='cuda:0')
tensor(4.1446, device='cuda:0')
tensor(4.0469, device='cuda:0')
tensor(3.9568, device='cuda:0')
tensor(3.9378, device='cuda:0')
tensor(4.0452, device='cuda:0')
tensor(3.9552, device='cuda:0')
tensor(4.0020, device='cuda:0')
tensor(3.8909, device='cuda:0')
tensor(3.5835, device='cuda:0')
tensor(3.9201, device='cuda:0')
tensor(3.9700, device='cuda:0')
tensor(4.0605, device='cuda:0')
tensor(4.1813, device='cuda:0')
tensor(4.0190, device='cuda:0')
tensor(3.8890, device='cuda:0')
tensor(4.0372, device='cuda:0')
tensor(4.0984, device='cuda:0')
tensor(4.1275, device='cuda:0')
tensor(4.0460, device='cuda:0')
tensor(3.9704, device='cuda:0')
tensor(3.7185, device='cuda:0')
tensor(3.8066, device='cuda:0')
tensor(3.6934, device='cuda:0')
tensor(4.0115, device='cuda:0')
tensor(3.8084, device='cuda:0')
tensor(3.5961, device='cuda:0')
tensor(3.7887, device='cuda:0')
tensor(4.0104, device='cuda:0')
tensor(4.1938, device='cuda:0')
tensor(3.9557, device='cuda:0')
tensor(3.7029, device='cuda:0')
tensor(3.8653, device='cuda:0')
tensor(3.9753, device='cuda:0')
tensor(3.8605, device='cuda:0')
tensor(4.1386, device='cuda:0')
tensor(3.6724, device='cuda:0')
tensor(3.8718, device='cuda:0')
tensor(3.9598, device='cuda:0')
tensor(3.9975, device='cuda:0')
tensor(3.9640, device='cuda:0')
tensor(3.7468, device='cuda:0')
tensor(3.8606, device='cuda:0')
tensor(3.8447, device='cuda:0')
tensor(4.1425, device='cuda:0')
tensor(3.7410, device='cuda:0')
tensor(3.9017, device='cuda:0')
tensor(3.7337, device='cuda:0')
tensor(3.9986, device='cuda:0')
tensor(4.1126, device='cuda:0')
tensor(3.9170, device='cuda:0')
tensor(3.8189, device='cuda:0')
tensor(3.8595, device='cuda:0')
tensor(4.4013, device='cuda:0')
tensor(3.8638, device='cuda:0')
tensor(3.6662, device='cuda:0')
tensor(4.1811, device='cuda:0')
tensor(3.6331, device='cuda:0')
tensor(3.8254, device='cuda:0')
tensor(3.7582, device='cuda:0')
tensor(3.8332, device='cuda:0')
tensor(4.0539, device='cuda:0')
tensor(3.9715, device='cuda:0')
tensor(3.8477, device='cuda:0')
tensor(3.6729, device='cuda:0')
tensor(3.4857, device='cuda:0')
tensor(3.9571, device='cuda:0')
tensor(3.8774, device='cuda:0')
tensor(4.0358, device='cuda:0')
tensor(3.8783, device='cuda:0')
tensor(3.5894, device='cuda:0')
tensor(3.7412, device='cuda:0')
tensor(3.8488, device='cuda:0')
tensor(3.8352, device='cuda:0')
tensor(3.8427, device='cuda:0')
tensor(3.8872, device='cuda:0')
tensor(3.9269, device='cuda:0')
tensor(3.9571, device='cuda:0')
tensor(3.8260, device='cuda:0')
tensor(3.9101, device='cuda:0')
tensor(4.0347, device='cuda:0')
tensor(4.0606, device='cuda:0')
tensor(4.1403, device='cuda:0')
tensor(4.0383, device='cuda:0')
tensor(4.0625, device='cuda:0')
tensor(4.3461, device='cuda:0')
tensor(4.0633, device='cuda:0')
tensor(3.7295, device='cuda:0')
tensor(3.9108, device='cuda:0')
tensor(3.8278, device='cuda:0')
tensor(3.9117, device='cuda:0')
tensor(3.9483, device='cuda:0')
tensor(4.0815, device='cuda:0')
tensor(4.0473, device='cuda:0')
tensor(3.9813, device='cuda:0')
tensor(3.7995, device='cuda:0')
tensor(3.6112, device='cuda:0')
tensor(4.0622, device='cuda:0')
tensor(4.1485, device='cuda:0')
tensor(3.9251, device='cuda:0')
tensor(3.7925, device='cuda:0')
tensor(3.9340, device='cuda:0')
tensor(4.0024, device='cuda:0')
tensor(3.6810, device='cuda:0')
tensor(3.9118, device='cuda:0')
tensor(3.8047, device='cuda:0')
tensor(3.8375, device='cuda:0')
tensor(3.8424, device='cuda:0')
tensor(3.8619, device='cuda:0')
tensor(3.9635, device='cuda:0')
tensor(3.6456, device='cuda:0')
tensor(3.6430, device='cuda:0')
tensor(3.4778, device='cuda:0')
tensor(3.9259, device='cuda:0')
tensor(4.0098, device='cuda:0')
tensor(3.9676, device='cuda:0')
tensor(3.9800, device='cuda:0')
tensor(3.7859, device='cuda:0')
tensor(3.6602, device='cuda:0')
tensor(3.8724, device='cuda:0')
tensor(3.9519, device='cuda:0')
tensor(3.9305, device='cuda:0')
tensor(3.8840, device='cuda:0')
tensor(3.9175, device='cuda:0')
tensor(3.8015, device='cuda:0')
tensor(4.1215, device='cuda:0')
tensor(4.0790, device='cuda:0')
tensor(4.0443, device='cuda:0')
tensor(3.8617, device='cuda:0')
tensor(3.8594, device='cuda:0')
tensor(4.0118, device='cuda:0')
tensor(3.6452, device='cuda:0')
tensor(3.9368, device='cuda:0')
tensor(3.9540, device='cuda:0')
tensor(3.8812, device='cuda:0')
tensor(3.6275, device='cuda:0')
tensor(4.0617, device='cuda:0')
tensor(3.8342, device='cuda:0')
tensor(3.7862, device='cuda:0')
tensor(4.0934, device='cuda:0')
tensor(3.6155, device='cuda:0')
tensor(3.8667, device='cuda:0')
tensor(3.7894, device='cuda:0')
tensor(3.8900, device='cuda:0')
tensor(4.0829, device='cuda:0')
tensor(3.8842, device='cuda:0')
tensor(4.0569, device='cuda:0')
tensor(4.2225, device='cuda:0')
tensor(4.0787, device='cuda:0')
tensor(4.1033, device='cuda:0')
tensor(4.0015, device='cuda:0')
tensor(3.9519, device='cuda:0')
tensor(4.0687, device='cuda:0')
tensor(4.0976, device='cuda:0')
tensor(4.1150, device='cuda:0')
tensor(3.9504, device='cuda:0')
tensor(4.1275, device='cuda:0')
tensor(3.8540, device='cuda:0')
tensor(3.8921, device='cuda:0')
tensor(3.9033, device='cuda:0')
tensor(4.3663, device='cuda:0')
tensor(4.0036, device='cuda:0')
tensor(3.9894, device='cuda:0')
tensor(4.0890, device='cuda:0')
tensor(4.1070, device='cuda:0')
tensor(3.9159, device='cuda:0')
tensor(3.9978, device='cuda:0')
tensor(4.2552, device='cuda:0')
tensor(4.1006, device='cuda:0')
tensor(3.9539, device='cuda:0')
tensor(4.1883, device='cuda:0')
tensor(4.3213, device='cuda:0')
tensor(4.2412, device='cuda:0')
tensor(3.9882, device='cuda:0')
tensor(4.1423, device='cuda:0')
tensor(4.2130, device='cuda:0')
tensor(3.9678, device='cuda:0')
tensor(4.1620, device='cuda:0')
tensor(3.9175, device='cuda:0')
tensor(4.0053, device='cuda:0')
tensor(4.0031, device='cuda:0')
tensor(4.1502, device='cuda:0')
tensor(3.8189, device='cuda:0')
tensor(3.8883, device='cuda:0')
tensor(3.7741, device='cuda:0')
tensor(4.2455, device='cuda:0')
tensor(4.0383, device='cuda:0')
tensor(4.0513, device='cuda:0')
tensor(4.0816, device='cuda:0')
tensor(4.2887, device='cuda:0')
tensor(4.2046, device='cuda:0')
tensor(3.8592, device='cuda:0')
tensor(3.8539, device='cuda:0')
tensor(3.7765, device='cuda:0')
tensor(4.2523, device='cuda:0')
tensor(4.2163, device='cuda:0')
tensor(4.0027, device='cuda:0')
tensor(3.6958, device='cuda:0')
tensor(3.7617, device='cuda:0')
tensor(4.0392, device='cuda:0')
tensor(4.1055, device='cuda:0')
tensor(3.8689, device='cuda:0')
tensor(3.9301, device='cuda:0')
tensor(4.0699, device='cuda:0')
tensor(3.7450, device='cuda:0')
tensor(3.8541, device='cuda:0')
tensor(3.7118, device='cuda:0')
tensor(3.9081, device='cuda:0')
tensor(3.5474, device='cuda:0')
tensor(3.8927, device='cuda:0')
tensor(3.7151, device='cuda:0')
tensor(3.8211, device='cuda:0')
tensor(4.0857, device='cuda:0')
tensor(4.0289, device='cuda:0')
tensor(3.7284, device='cuda:0')
tensor(3.5546, device='cuda:0')
tensor(3.8206, device='cuda:0')
tensor(3.8640, device='cuda:0')
tensor(4.0140, device='cuda:0')
tensor(4.2350, device='cuda:0')
tensor(4.0812, device='cuda:0')
tensor(4.0005, device='cuda:0')
tensor(4.0131, device='cuda:0')
tensor(4.0083, device='cuda:0')
tensor(4.0263, device='cuda:0')
tensor(4.0051, device='cuda:0')
tensor(4.0062, device='cuda:0')
tensor(3.9384, device='cuda:0')
tensor(4.0182, device='cuda:0')
tensor(3.8743, device='cuda:0')
tensor(3.6706, device='cuda:0')
tensor(3.8447, device='cuda:0')
tensor(4.1299, device='cuda:0')
tensor(4.1244, device='cuda:0')
tensor(4.1248, device='cuda:0')
tensor(3.8358, device='cuda:0')
tensor(3.9084, device='cuda:0')
tensor(4.1855, device='cuda:0')
