tensor(2.5461, device='cuda:0')
tensor(2.6114, device='cuda:0')
tensor(2.5224, device='cuda:0')
tensor(2.6857, device='cuda:0')
tensor(2.4897, device='cuda:0')
tensor(2.5190, device='cuda:0')
tensor(2.5217, device='cuda:0')
tensor(2.5658, device='cuda:0')
tensor(2.2936, device='cuda:0')
tensor(2.5785, device='cuda:0')
tensor(2.3436, device='cuda:0')
tensor(2.5588, device='cuda:0')
tensor(2.4213, device='cuda:0')
tensor(2.6009, device='cuda:0')
tensor(2.5241, device='cuda:0')
tensor(2.6103, device='cuda:0')
tensor(2.4635, device='cuda:0')
tensor(2.8553, device='cuda:0')
tensor(2.5513, device='cuda:0')
tensor(2.4921, device='cuda:0')
tensor(2.6316, device='cuda:0')
tensor(2.7812, device='cuda:0')
tensor(2.7564, device='cuda:0')
tensor(2.3406, device='cuda:0')
tensor(2.4692, device='cuda:0')
tensor(2.7009, device='cuda:0')
tensor(2.3719, device='cuda:0')
tensor(2.6064, device='cuda:0')
tensor(2.5217, device='cuda:0')
tensor(2.7901, device='cuda:0')
tensor(2.5848, device='cuda:0')
tensor(2.4472, device='cuda:0')
tensor(2.6785, device='cuda:0')
tensor(2.3445, device='cuda:0')
tensor(2.5235, device='cuda:0')
tensor(2.4802, device='cuda:0')
tensor(2.3794, device='cuda:0')
tensor(2.4308, device='cuda:0')
tensor(2.3145, device='cuda:0')
tensor(2.4641, device='cuda:0')
tensor(2.5536, device='cuda:0')
tensor(2.4989, device='cuda:0')
tensor(2.4032, device='cuda:0')
tensor(2.4982, device='cuda:0')
tensor(2.7835, device='cuda:0')
tensor(2.3303, device='cuda:0')
tensor(2.2023, device='cuda:0')
tensor(2.2479, device='cuda:0')
tensor(2.3192, device='cuda:0')
tensor(2.5504, device='cuda:0')
tensor(2.6106, device='cuda:0')
tensor(2.4024, device='cuda:0')
tensor(2.4121, device='cuda:0')
tensor(2.3286, device='cuda:0')
tensor(2.5127, device='cuda:0')
tensor(2.6516, device='cuda:0')
tensor(2.5517, device='cuda:0')
tensor(2.4867, device='cuda:0')
tensor(2.2304, device='cuda:0')
tensor(2.3609, device='cuda:0')
tensor(2.4019, device='cuda:0')
tensor(2.3565, device='cuda:0')
tensor(2.2437, device='cuda:0')
tensor(2.0388, device='cuda:0')
tensor(2.4188, device='cuda:0')
tensor(2.5378, device='cuda:0')
tensor(2.2053, device='cuda:0')
tensor(1.9760, device='cuda:0')
tensor(2.0028, device='cuda:0')
tensor(2.2363, device='cuda:0')
tensor(2.3576, device='cuda:0')
tensor(2.5425, device='cuda:0')
tensor(2.5299, device='cuda:0')
tensor(2.4742, device='cuda:0')
tensor(2.5857, device='cuda:0')
tensor(2.4117, device='cuda:0')
tensor(2.6907, device='cuda:0')
tensor(2.4690, device='cuda:0')
tensor(2.5089, device='cuda:0')
tensor(2.3667, device='cuda:0')
tensor(2.5395, device='cuda:0')
tensor(2.3213, device='cuda:0')
tensor(2.4455, device='cuda:0')
tensor(2.2669, device='cuda:0')
tensor(2.4134, device='cuda:0')
tensor(2.2911, device='cuda:0')
tensor(2.3506, device='cuda:0')
tensor(2.4923, device='cuda:0')
tensor(2.3036, device='cuda:0')
tensor(2.0424, device='cuda:0')
tensor(2.4070, device='cuda:0')
tensor(2.6116, device='cuda:0')
tensor(2.6158, device='cuda:0')
tensor(2.4867, device='cuda:0')
tensor(2.4375, device='cuda:0')
tensor(2.2070, device='cuda:0')
tensor(2.3389, device='cuda:0')
tensor(2.5187, device='cuda:0')
tensor(2.5751, device='cuda:0')
tensor(2.4348, device='cuda:0')
tensor(2.3090, device='cuda:0')
tensor(2.3311, device='cuda:0')
tensor(2.4889, device='cuda:0')
tensor(2.4628, device='cuda:0')
tensor(2.0849, device='cuda:0')
tensor(2.5437, device='cuda:0')
tensor(2.4161, device='cuda:0')
tensor(2.3685, device='cuda:0')
tensor(2.1840, device='cuda:0')
tensor(2.1255, device='cuda:0')
tensor(2.0987, device='cuda:0')
tensor(2.5741, device='cuda:0')
tensor(2.4927, device='cuda:0')
tensor(2.4373, device='cuda:0')
tensor(2.3675, device='cuda:0')
tensor(2.5562, device='cuda:0')
tensor(2.4739, device='cuda:0')
tensor(2.4168, device='cuda:0')
tensor(2.3369, device='cuda:0')
tensor(2.1272, device='cuda:0')
tensor(2.2359, device='cuda:0')
tensor(2.4151, device='cuda:0')
tensor(2.3174, device='cuda:0')
tensor(2.5345, device='cuda:0')
tensor(2.3256, device='cuda:0')
tensor(2.2354, device='cuda:0')
tensor(2.5356, device='cuda:0')
tensor(2.5324, device='cuda:0')
tensor(2.5948, device='cuda:0')
tensor(2.4447, device='cuda:0')
tensor(2.3277, device='cuda:0')
tensor(2.1132, device='cuda:0')
tensor(2.2876, device='cuda:0')
tensor(2.2687, device='cuda:0')
tensor(2.4670, device='cuda:0')
tensor(2.2554, device='cuda:0')
tensor(2.0392, device='cuda:0')
tensor(2.3340, device='cuda:0')
tensor(2.4189, device='cuda:0')
tensor(2.6378, device='cuda:0')
tensor(2.3591, device='cuda:0')
tensor(2.1208, device='cuda:0')
tensor(2.3425, device='cuda:0')
tensor(2.4996, device='cuda:0')
tensor(2.4167, device='cuda:0')
tensor(2.4849, device='cuda:0')
tensor(2.2348, device='cuda:0')
tensor(2.2104, device='cuda:0')
tensor(2.3175, device='cuda:0')
tensor(2.2782, device='cuda:0')
tensor(2.3780, device='cuda:0')
tensor(2.2059, device='cuda:0')
tensor(2.2219, device='cuda:0')
tensor(2.1846, device='cuda:0')
tensor(2.5067, device='cuda:0')
tensor(2.2330, device='cuda:0')
tensor(2.4359, device='cuda:0')
tensor(2.1950, device='cuda:0')
tensor(2.3786, device='cuda:0')
tensor(2.6529, device='cuda:0')
tensor(2.4206, device='cuda:0')
tensor(2.2027, device='cuda:0')
tensor(2.2710, device='cuda:0')
tensor(2.7704, device='cuda:0')
tensor(2.3537, device='cuda:0')
tensor(2.0332, device='cuda:0')
tensor(2.6192, device='cuda:0')
tensor(2.1324, device='cuda:0')
tensor(2.2495, device='cuda:0')
tensor(2.2365, device='cuda:0')
tensor(2.3105, device='cuda:0')
tensor(2.4208, device='cuda:0')
tensor(2.3945, device='cuda:0')
tensor(2.2022, device='cuda:0')
tensor(2.1191, device='cuda:0')
tensor(2.0094, device='cuda:0')
tensor(2.3639, device='cuda:0')
tensor(2.2590, device='cuda:0')
tensor(2.5407, device='cuda:0')
tensor(2.2730, device='cuda:0')
tensor(2.0055, device='cuda:0')
tensor(2.2041, device='cuda:0')
tensor(2.2067, device='cuda:0')
tensor(2.4485, device='cuda:0')
tensor(2.3969, device='cuda:0')
tensor(2.3079, device='cuda:0')
tensor(2.2988, device='cuda:0')
tensor(2.3756, device='cuda:0')
tensor(2.3089, device='cuda:0')
tensor(2.4039, device='cuda:0')
tensor(2.6483, device='cuda:0')
tensor(2.4434, device='cuda:0')
tensor(2.5589, device='cuda:0')
tensor(2.4893, device='cuda:0')
tensor(2.5309, device='cuda:0')
tensor(2.7087, device='cuda:0')
tensor(2.4722, device='cuda:0')
tensor(2.2470, device='cuda:0')
tensor(2.3897, device='cuda:0')
tensor(2.3530, device='cuda:0')
tensor(2.2838, device='cuda:0')
tensor(2.3448, device='cuda:0')
tensor(2.4897, device='cuda:0')
tensor(2.5138, device='cuda:0')
tensor(2.3447, device='cuda:0')
tensor(2.3299, device='cuda:0')
tensor(2.1863, device='cuda:0')
tensor(2.5589, device='cuda:0')
tensor(2.5024, device='cuda:0')
tensor(2.2831, device='cuda:0')
tensor(2.1046, device='cuda:0')
