tensor(4.6596, device='cuda:0')
tensor(4.8895, device='cuda:0')
tensor(4.9138, device='cuda:0')
tensor(4.8446, device='cuda:0')
tensor(4.8355, device='cuda:0')
tensor(4.6798, device='cuda:0')
tensor(4.7094, device='cuda:0')
tensor(4.6911, device='cuda:0')
tensor(4.6596, device='cuda:0')
tensor(4.6181, device='cuda:0')
tensor(4.5226, device='cuda:0')
tensor(4.7878, device='cuda:0')
tensor(4.8512, device='cuda:0')
tensor(4.6115, device='cuda:0')
tensor(4.4750, device='cuda:0')
tensor(4.4313, device='cuda:0')
tensor(4.6539, device='cuda:0')
tensor(4.7052, device='cuda:0')
tensor(4.8871, device='cuda:0')
tensor(4.9145, device='cuda:0')
tensor(4.6948, device='cuda:0')
tensor(4.8883, device='cuda:0')
tensor(4.8221, device='cuda:0')
tensor(4.9396, device='cuda:0')
tensor(4.7649, device='cuda:0')
tensor(4.7188, device='cuda:0')
tensor(4.7502, device='cuda:0')
tensor(4.7881, device='cuda:0')
tensor(4.7609, device='cuda:0')
tensor(4.8197, device='cuda:0')
tensor(4.6977, device='cuda:0')
tensor(4.6685, device='cuda:0')
tensor(4.7198, device='cuda:0')
tensor(4.7467, device='cuda:0')
tensor(4.7996, device='cuda:0')
tensor(4.5884, device='cuda:0')
tensor(4.5378, device='cuda:0')
tensor(4.7487, device='cuda:0')
tensor(4.9990, device='cuda:0')
tensor(4.9818, device='cuda:0')
tensor(4.8224, device='cuda:0')
tensor(4.7212, device='cuda:0')
tensor(4.5306, device='cuda:0')
tensor(4.6837, device='cuda:0')
tensor(4.8023, device='cuda:0')
tensor(4.7904, device='cuda:0')
tensor(4.7850, device='cuda:0')
tensor(4.6993, device='cuda:0')
tensor(4.7905, device='cuda:0')
tensor(4.7527, device='cuda:0')
tensor(4.7993, device='cuda:0')
tensor(4.6365, device='cuda:0')
tensor(4.8234, device='cuda:0')
tensor(4.9136, device='cuda:0')
tensor(4.8305, device='cuda:0')
tensor(4.6745, device='cuda:0')
tensor(4.6455, device='cuda:0')
tensor(4.7454, device='cuda:0')
tensor(4.8898, device='cuda:0')
tensor(4.8158, device='cuda:0')
tensor(4.7312, device='cuda:0')
tensor(4.7320, device='cuda:0')
tensor(4.7980, device='cuda:0')
tensor(4.6989, device='cuda:0')
tensor(4.7305, device='cuda:0')
tensor(4.7200, device='cuda:0')
tensor(4.4595, device='cuda:0')
tensor(4.7926, device='cuda:0')
tensor(4.7209, device='cuda:0')
tensor(4.8739, device='cuda:0')
tensor(4.9657, device='cuda:0')
tensor(4.8692, device='cuda:0')
tensor(4.7365, device='cuda:0')
tensor(4.8020, device='cuda:0')
tensor(4.8290, device='cuda:0')
tensor(4.9170, device='cuda:0')
tensor(4.7939, device='cuda:0')
tensor(4.7802, device='cuda:0')
tensor(4.5658, device='cuda:0')
tensor(4.6422, device='cuda:0')
tensor(4.5042, device='cuda:0')
tensor(4.8115, device='cuda:0')
tensor(4.5933, device='cuda:0')
tensor(4.4453, device='cuda:0')
tensor(4.5727, device='cuda:0')
tensor(4.8097, device='cuda:0')
tensor(4.9378, device='cuda:0')
tensor(4.7929, device='cuda:0')
tensor(4.5673, device='cuda:0')
tensor(4.6741, device='cuda:0')
tensor(4.7568, device='cuda:0')
tensor(4.6499, device='cuda:0')
tensor(4.9007, device='cuda:0')
tensor(4.5313, device='cuda:0')
tensor(4.6687, device='cuda:0')
tensor(4.7167, device='cuda:0')
tensor(4.7478, device='cuda:0')
tensor(4.7953, device='cuda:0')
tensor(4.5562, device='cuda:0')
tensor(4.6689, device='cuda:0')
tensor(4.7309, device='cuda:0')
tensor(4.9133, device='cuda:0')
tensor(4.5678, device='cuda:0')
tensor(4.6954, device='cuda:0')
tensor(4.5796, device='cuda:0')
tensor(4.8255, device='cuda:0')
tensor(4.8344, device='cuda:0')
tensor(4.6885, device='cuda:0')
tensor(4.6825, device='cuda:0')
tensor(4.6424, device='cuda:0')
tensor(5.1319, device='cuda:0')
tensor(4.6755, device='cuda:0')
tensor(4.5371, device='cuda:0')
tensor(4.9102, device='cuda:0')
tensor(4.4773, device='cuda:0')
tensor(4.6197, device='cuda:0')
tensor(4.5950, device='cuda:0')
tensor(4.6335, device='cuda:0')
tensor(4.8224, device='cuda:0')
tensor(4.7247, device='cuda:0')
tensor(4.6422, device='cuda:0')
tensor(4.4569, device='cuda:0')
tensor(4.3472, device='cuda:0')
tensor(4.7571, device='cuda:0')
tensor(4.7045, device='cuda:0')
tensor(4.8390, device='cuda:0')
tensor(4.6723, device='cuda:0')
tensor(4.4852, device='cuda:0')
tensor(4.5782, device='cuda:0')
tensor(4.6647, device='cuda:0')
tensor(4.6202, device='cuda:0')
tensor(4.6575, device='cuda:0')
tensor(4.7105, device='cuda:0')
tensor(4.7541, device='cuda:0')
tensor(4.7809, device='cuda:0')
tensor(4.6535, device='cuda:0')
tensor(4.7082, device='cuda:0')
tensor(4.7710, device='cuda:0')
tensor(4.8465, device='cuda:0')
tensor(4.9124, device='cuda:0')
tensor(4.8154, device='cuda:0')
tensor(4.8577, device='cuda:0')
tensor(4.9950, device='cuda:0')
tensor(4.8746, device='cuda:0')
tensor(4.5737, device='cuda:0')
tensor(4.7004, device='cuda:0')
tensor(4.6510, device='cuda:0')
tensor(4.6975, device='cuda:0')
tensor(4.7523, device='cuda:0')
tensor(4.8752, device='cuda:0')
tensor(4.8304, device='cuda:0')
tensor(4.8042, device='cuda:0')
tensor(4.6246, device='cuda:0')
tensor(4.4165, device='cuda:0')
tensor(4.8100, device='cuda:0')
tensor(4.9214, device='cuda:0')
tensor(4.7488, device='cuda:0')
tensor(4.6472, device='cuda:0')
tensor(4.7462, device='cuda:0')
tensor(4.8415, device='cuda:0')
tensor(4.6026, device='cuda:0')
tensor(4.7926, device='cuda:0')
tensor(4.6895, device='cuda:0')
tensor(4.6801, device='cuda:0')
tensor(4.7066, device='cuda:0')
tensor(4.7102, device='cuda:0')
tensor(4.7573, device='cuda:0')
tensor(4.4885, device='cuda:0')
tensor(4.4944, device='cuda:0')
tensor(4.3714, device='cuda:0')
tensor(4.7004, device='cuda:0')
tensor(4.8247, device='cuda:0')
tensor(4.7792, device='cuda:0')
tensor(4.8157, device='cuda:0')
tensor(4.6083, device='cuda:0')
tensor(4.5211, device='cuda:0')
tensor(4.6918, device='cuda:0')
tensor(4.7269, device='cuda:0')
tensor(4.7428, device='cuda:0')
tensor(4.7268, device='cuda:0')
tensor(4.7583, device='cuda:0')
tensor(4.6252, device='cuda:0')
tensor(4.8959, device='cuda:0')
tensor(4.8140, device='cuda:0')
tensor(4.8254, device='cuda:0')
tensor(4.7157, device='cuda:0')
tensor(4.6605, device='cuda:0')
tensor(4.8001, device='cuda:0')
tensor(4.4924, device='cuda:0')
tensor(4.7360, device='cuda:0')
tensor(4.7443, device='cuda:0')
tensor(4.6978, device='cuda:0')
tensor(4.4858, device='cuda:0')
tensor(4.8311, device='cuda:0')
tensor(4.6042, device='cuda:0')
tensor(4.6224, device='cuda:0')
tensor(4.8034, device='cuda:0')
tensor(4.4061, device='cuda:0')
tensor(4.6362, device='cuda:0')
tensor(4.5955, device='cuda:0')
tensor(4.7184, device='cuda:0')
tensor(4.8633, device='cuda:0')
tensor(4.7275, device='cuda:0')
tensor(4.8294, device='cuda:0')
tensor(4.9306, device='cuda:0')
tensor(4.7690, device='cuda:0')
tensor(4.7862, device='cuda:0')
tensor(4.7212, device='cuda:0')
tensor(4.6841, device='cuda:0')
tensor(4.8253, device='cuda:0')
tensor(4.7734, device='cuda:0')
tensor(4.8053, device='cuda:0')
tensor(4.6568, device='cuda:0')
tensor(4.8127, device='cuda:0')
tensor(4.5700, device='cuda:0')
tensor(4.6331, device='cuda:0')
tensor(4.6865, device='cuda:0')
tensor(5.0928, device='cuda:0')
tensor(4.7824, device='cuda:0')
tensor(4.7846, device='cuda:0')
tensor(4.8561, device='cuda:0')
tensor(4.8799, device='cuda:0')
tensor(4.6850, device='cuda:0')
tensor(4.7628, device='cuda:0')
tensor(4.9490, device='cuda:0')
tensor(4.8515, device='cuda:0')
tensor(4.7426, device='cuda:0')
tensor(4.9436, device='cuda:0')
tensor(5.0133, device='cuda:0')
tensor(4.9389, device='cuda:0')
tensor(4.7389, device='cuda:0')
tensor(4.8459, device='cuda:0')
tensor(4.9628, device='cuda:0')
tensor(4.7346, device='cuda:0')
tensor(4.8581, device='cuda:0')
tensor(4.7316, device='cuda:0')
tensor(4.7866, device='cuda:0')
tensor(4.7303, device='cuda:0')
tensor(4.8916, device='cuda:0')
tensor(4.5861, device='cuda:0')
tensor(4.6623, device='cuda:0')
tensor(4.5770, device='cuda:0')
tensor(4.9469, device='cuda:0')
tensor(4.7612, device='cuda:0')
tensor(4.8131, device='cuda:0')
tensor(4.7959, device='cuda:0')
tensor(5.0122, device='cuda:0')
tensor(4.9337, device='cuda:0')
tensor(4.6833, device='cuda:0')
tensor(4.6262, device='cuda:0')
tensor(4.5608, device='cuda:0')
tensor(4.9743, device='cuda:0')
tensor(4.9199, device='cuda:0')
tensor(4.7168, device='cuda:0')
tensor(4.4939, device='cuda:0')
tensor(4.5380, device='cuda:0')
tensor(4.7653, device='cuda:0')
tensor(4.8656, device='cuda:0')
tensor(4.5975, device='cuda:0')
tensor(4.7048, device='cuda:0')
tensor(4.7890, device='cuda:0')
tensor(4.5317, device='cuda:0')
tensor(4.6123, device='cuda:0')
tensor(4.5208, device='cuda:0')
tensor(4.6915, device='cuda:0')
tensor(4.3680, device='cuda:0')
tensor(4.6749, device='cuda:0')
tensor(4.5231, device='cuda:0')
tensor(4.6362, device='cuda:0')
tensor(4.8385, device='cuda:0')
tensor(4.7798, device='cuda:0')
tensor(4.5290, device='cuda:0')
tensor(4.4347, device='cuda:0')
tensor(4.6167, device='cuda:0')
tensor(4.6497, device='cuda:0')
tensor(4.7464, device='cuda:0')
tensor(4.9285, device='cuda:0')
tensor(4.7984, device='cuda:0')
tensor(4.7355, device='cuda:0')
tensor(4.7930, device='cuda:0')
tensor(4.7349, device='cuda:0')
tensor(4.7650, device='cuda:0')
tensor(4.7220, device='cuda:0')
tensor(4.7707, device='cuda:0')
tensor(4.7272, device='cuda:0')
tensor(4.7438, device='cuda:0')
tensor(4.6473, device='cuda:0')
tensor(4.4914, device='cuda:0')
tensor(4.5944, device='cuda:0')
tensor(4.8694, device='cuda:0')
tensor(4.8988, device='cuda:0')
tensor(4.8746, device='cuda:0')
tensor(4.5978, device='cuda:0')
tensor(4.6749, device='cuda:0')
tensor(4.9249, device='cuda:0')
tensor(4.8435, device='cuda:0')
tensor(4.7561, device='cuda:0')
tensor(4.5001, device='cuda:0')
tensor(4.6666, device='cuda:0')
tensor(4.6996, device='cuda:0')
tensor(4.7711, device='cuda:0')
tensor(4.7294, device='cuda:0')
tensor(4.6676, device='cuda:0')
tensor(4.7538, device='cuda:0')
tensor(4.5891, device='cuda:0')
tensor(4.5914, device='cuda:0')
tensor(4.6190, device='cuda:0')
tensor(4.4543, device='cuda:0')
tensor(4.5322, device='cuda:0')
tensor(4.6826, device='cuda:0')
tensor(4.8190, device='cuda:0')
tensor(4.4726, device='cuda:0')
tensor(4.6187, device='cuda:0')
tensor(4.9365, device='cuda:0')
tensor(4.5712, device='cuda:0')
tensor(4.8016, device='cuda:0')
tensor(4.7956, device='cuda:0')
tensor(4.7153, device='cuda:0')
tensor(4.7983, device='cuda:0')
tensor(4.8554, device='cuda:0')
tensor(4.6123, device='cuda:0')
tensor(4.5395, device='cuda:0')
tensor(4.6118, device='cuda:0')
tensor(4.6866, device='cuda:0')
tensor(4.8160, device='cuda:0')
tensor(4.7316, device='cuda:0')
tensor(4.5700, device='cuda:0')
tensor(4.7662, device='cuda:0')
tensor(4.7709, device='cuda:0')
tensor(4.7185, device='cuda:0')
tensor(4.7779, device='cuda:0')
tensor(4.9725, device='cuda:0')
tensor(4.8394, device='cuda:0')
tensor(4.5276, device='cuda:0')
tensor(4.6199, device='cuda:0')
tensor(4.6201, device='cuda:0')
tensor(4.6576, device='cuda:0')
tensor(4.3941, device='cuda:0')
tensor(4.5734, device='cuda:0')
tensor(4.7756, device='cuda:0')
tensor(4.8079, device='cuda:0')
tensor(4.6440, device='cuda:0')
tensor(4.3786, device='cuda:0')
tensor(4.5769, device='cuda:0')
tensor(4.5968, device='cuda:0')
tensor(4.8012, device='cuda:0')
tensor(4.7029, device='cuda:0')
tensor(4.5326, device='cuda:0')
tensor(4.5471, device='cuda:0')
tensor(4.5679, device='cuda:0')
tensor(4.8635, device='cuda:0')
tensor(4.6905, device='cuda:0')
tensor(4.6614, device='cuda:0')
tensor(4.6508, device='cuda:0')
tensor(4.6226, device='cuda:0')
tensor(4.9350, device='cuda:0')
tensor(4.3656, device='cuda:0')
tensor(4.9032, device='cuda:0')
tensor(4.4744, device='cuda:0')
tensor(4.8256, device='cuda:0')
tensor(4.7141, device='cuda:0')
tensor(4.5677, device='cuda:0')
tensor(4.4977, device='cuda:0')
tensor(4.6661, device='cuda:0')
tensor(4.5455, device='cuda:0')
tensor(4.4919, device='cuda:0')
tensor(4.5592, device='cuda:0')
tensor(4.5124, device='cuda:0')
tensor(4.5639, device='cuda:0')
tensor(4.4812, device='cuda:0')
tensor(4.7003, device='cuda:0')
tensor(4.6148, device='cuda:0')
tensor(4.7380, device='cuda:0')
tensor(4.5502, device='cuda:0')
tensor(4.5470, device='cuda:0')
tensor(4.5300, device='cuda:0')
tensor(4.7018, device='cuda:0')
tensor(4.5251, device='cuda:0')
tensor(4.6258, device='cuda:0')
tensor(4.6139, device='cuda:0')
tensor(4.6890, device='cuda:0')
tensor(4.4350, device='cuda:0')
tensor(4.5640, device='cuda:0')
tensor(4.6641, device='cuda:0')
tensor(4.6055, device='cuda:0')
tensor(4.6413, device='cuda:0')
tensor(4.6105, device='cuda:0')
tensor(4.7172, device='cuda:0')
tensor(4.8738, device='cuda:0')
tensor(4.6756, device='cuda:0')
tensor(4.6010, device='cuda:0')
tensor(4.8737, device='cuda:0')
tensor(4.6237, device='cuda:0')
tensor(4.8348, device='cuda:0')
tensor(4.8765, device='cuda:0')
tensor(4.8145, device='cuda:0')
tensor(4.7219, device='cuda:0')
tensor(4.9144, device='cuda:0')
tensor(4.6710, device='cuda:0')
tensor(4.5486, device='cuda:0')
tensor(4.7657, device='cuda:0')
tensor(4.6072, device='cuda:0')
tensor(4.8084, device='cuda:0')
tensor(4.9277, device='cuda:0')
tensor(4.8053, device='cuda:0')
tensor(4.8453, device='cuda:0')
tensor(4.6869, device='cuda:0')
tensor(4.8315, device='cuda:0')
tensor(4.5932, device='cuda:0')
tensor(4.6121, device='cuda:0')
tensor(4.5434, device='cuda:0')
tensor(4.6121, device='cuda:0')
tensor(4.6381, device='cuda:0')
tensor(4.6767, device='cuda:0')
tensor(4.6383, device='cuda:0')
tensor(4.7522, device='cuda:0')
tensor(4.5624, device='cuda:0')
tensor(4.6763, device='cuda:0')
tensor(4.5248, device='cuda:0')
tensor(4.6067, device='cuda:0')
tensor(4.5597, device='cuda:0')
tensor(4.7069, device='cuda:0')
tensor(4.5602, device='cuda:0')
tensor(4.5897, device='cuda:0')
tensor(4.4750, device='cuda:0')
tensor(4.5048, device='cuda:0')
tensor(4.3577, device='cuda:0')
tensor(4.7547, device='cuda:0')
tensor(4.6284, device='cuda:0')
tensor(4.8598, device='cuda:0')
tensor(4.5701, device='cuda:0')
tensor(4.7204, device='cuda:0')
tensor(4.7150, device='cuda:0')
tensor(4.6304, device='cuda:0')
tensor(4.8025, device='cuda:0')
tensor(4.6014, device='cuda:0')
tensor(4.5415, device='cuda:0')
tensor(4.6106, device='cuda:0')
tensor(4.6652, device='cuda:0')
tensor(4.6858, device='cuda:0')
tensor(4.8197, device='cuda:0')
